sample_id,signer_id,sign_id,policy,frame_count,valid_ratio,shoulder_ratio,left_ratio,right_ratio,both_ratio,selected_hand,track_ratio,max_missing_run,max_internal_gap,path_length,avg_speed,max_jump,amplitude_x,amplitude_y,start_x,start_y,end_x,end_y,mean_separation,separation_range
S002_CSL_hello_0007,S002,CSL_hello,dominant_either,30,0.5333333333333333,1.0,0.03333333333333333,0.7666666666666667,0.0,right,0.7666666666666667,3,3,1.2144192717521038,0.998711909933037,0.20457685587628494,0.17193111413914552,1.4247943941108665,-0.46887387960152227,-0.9091296524820012,-0.609191671479821,0.4529296471179675,nan,nan
S002_CSL_hello_0008,S002,CSL_hello,dominant_either,31,0.5483870967741935,1.0,0.12903225806451613,0.7096774193548387,0.0,right,0.7096774193548387,4,4,0.6686268553187523,0.5405215685171791,0.13154160828361866,0.08859024006552624,1.4812116678064502,-0.5104752971528524,-0.8213734411756648,-0.5126587236643888,0.4904586240058952,nan,nan
S002_CSL_hello_0009,S002,CSL_hello,dominant_either,31,0.5734767025089605,1.0,0.03225806451612903,0.8709677419354839,0.0,right,0.8709677419354839,2,2,1.6384910717042225,1.0242207159379637,0.24817852048581257,0.13249957415257285,1.0507302168895,-0.6163866785839527,-0.4919956760618258,-0.6834157325777303,0.26166710200508947,nan,nan
S002_CSL_hello_0010,S002,CSL_hello,dominant_either,31,0.5483870967741935,1.0,0.16129032258064516,0.6774193548387096,0.0,right,0.6774193548387096,4,4,0.8277830099100462,0.7164366029461247,0.19013736674623963,0.17579150744461935,1.1476339609015551,-0.5589131922245711,-0.6285683632680621,-0.6791359968550656,0.18337803752875864,nan,nan
S002_CSL_hello_0011,S002,CSL_hello,dominant_either,31,0.5985663082437276,1.0,0.03225806451612903,0.9354838709677419,0.0,right,0.9354838709677419,2,2,2.527082817710991,1.4082982238226498,0.38183470339742664,0.2432828002112064,1.204414779060318,-0.579828045122317,-0.5502050692329808,-0.8060070135083812,0.46229213872841857,nan,nan
S002_CSL_hello_0012,S002,CSL_hello,dominant_either,31,0.5985663082437276,1.0,0.16129032258064516,0.8064516129032258,0.06451612903225806,right,0.8064516129032258,4,4,1.2611857251153467,0.8774632577160592,0.2214191567742,0.29128084042873925,1.0311508684454798,-0.6224923834850553,-0.7044431761943037,-0.9034771846586216,0.046320763050165095,nan,nan
S002_CSL_hello_0013,S002,CSL_hello,dominant_either,31,0.5734767025089605,1.0,0.06451612903225806,0.8387096774193549,0.03225806451612903,right,0.8387096774193549,3,3,1.368275601331466,0.9332158250040279,0.3027309613011931,0.2345295862005623,1.1653582058051661,-0.6451173257645232,-0.6863868675124527,-0.7900487280225993,-0.1363380096828275,nan,nan
S002_CSL_hello_0014,S002,CSL_hello,dominant_either,30,0.5722222222222222,1.0,0.0,0.9,0.0,right,0.9,2,2,1.0135232397223013,0.6415238053411019,0.1995738382603862,0.14216750042640214,1.1705653568472731,-0.37436770010897746,-0.08653484178326636,-0.5093882507218679,0.12974512301212615,nan,nan
S002_CSL_hello_0015,S002,CSL_hello,dominant_either,30,0.6111111111111112,1.0,0.03333333333333333,0.9666666666666667,0.0,right,0.9666666666666667,1,1,1.6124355987268237,0.9184270407323774,0.21231018302951735,0.10282968371160511,0.7930847541868126,-0.4126687711687607,-0.46666115943203,-0.4986481632398642,0.012637854370702266,nan,nan
S002_CSL_hello_0016,S002,CSL_hello,dominant_either,30,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,1.7345290810361922,0.9237287175661654,0.41927660925707455,0.14389532913335967,0.9352428756930091,-0.4900828091742275,-0.5720948250763153,-0.550274122000163,0.27050900359286134,nan,nan
